"groups_pas","ST07","ST08","ST09","ST10","ST12","ST13","ST14","ST15","ST16","ST17","ST18","ST18-2","soundspeed","synced_time"
0,NA,949944.983088006,949945.027205259,NA,NA,949945.05019111,949945.001493337,949944.934908575,949944.97126706,949944.994937477,949944.967366324,949944.981369905,1458.03990390922,"2015-10-17 10:25:49.368293632"
0,NA,950529.163542006,950529.208816384,NA,NA,NA,950529.181820637,950529.115279202,950529.151483259,950529.175214681,950529.147817701,950529.161708206,1458.03990390922,"2015-10-17 10:35:33.548664320"
0,NA,951154.645720006,951154.687022355,951154.670421911,NA,NA,951154.664050461,951154.597454459,951154.633816719,951154.657449865,951154.630015338,951154.644077892,1458.03990390922,"2015-10-17 10:45:59.030839552"
0,NA,951742.003622006,951742.047716822,NA,NA,NA,951742.022108037,951741.955472091,951741.991865427,951742.01565421,951741.98801615,951742.00188113,1458.03990390922,"2015-10-17 10:55:46.388857088"
0,NA,952373.937095006,NA,NA,NA,NA,952373.955298568,952373.888838295,952373.925160937,952373.948742657,952373.921212575,952373.935266642,1458.03990390922,"2015-10-17 11:06:18.322223360"
0,NA,NA,NA,NA,NA,NA,NA,952974.973924514,NA,NA,NA,NA,1458.03990390922,"2015-10-17 11:16:19.407309568"
0,NA,953633.562711006,NA,NA,NA,NA,953633.580970802,953633.514444135,953633.550843454,953633.574515651,953633.547070594,953633.560924998,1458.12843080444,"2015-10-17 11:27:17.947829248"
0,NA,954287.594923006,NA,NA,NA,NA,NA,954287.546539237,954287.582967812,954287.606800167,954287.57911595,954287.593058246,1458.12843080444,"2015-10-17 11:38:11.979924224"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.12843080444,"2015-10-17 11:43:24.433384960"
0,NA,954932.132790006,NA,NA,NA,NA,954932.151197945,954932.084594436,954932.120893459,954932.1446002,954932.117112086,954932.131139003,1458.12843080444,"2015-10-17 11:48:56.517979392"
0,NA,955558.324657006,955558.366637399,NA,NA,NA,955558.343213275,955558.276558598,955558.312912626,955558.336620112,955558.308898448,955558.323011208,1458.12843080444,"2015-10-17 11:59:22.709943552"
0,NA,956147.738025006,NA,NA,NA,NA,956147.756325577,956147.689940691,956147.726216874,956147.749777821,956147.722367295,956147.736375671,1458.12843080444,"2015-10-17 12:09:12.123325696"
0,NA,956783.337139006,NA,NA,NA,NA,956783.355435013,956783.288946844,956783.325234699,956783.348982188,956783.321504942,956783.335576585,1458.12843080444,"2015-10-17 12:19:47.722331904"
0,NA,957391.518500006,NA,NA,NA,957391.586177447,957391.536840686,957391.470212895,957391.506437315,NA,957391.502777371,957391.516821502,1458.12843080444,"2015-10-17 12:29:55.903597824"
0,NA,957944.957856006,NA,NA,NA,NA,957944.976232941,957944.909701689,957944.946110518,957944.969590113,957944.942015308,957944.956259885,1458.12843080444,"2015-10-17 12:39:09.343086592"
